Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11389860,"Filosoffen Niels Bohr","David Favrholdt","Favrholdt, David","",="",="9788775142163",0,"4.07","Informations Forlag","Hardcover","460",2009,2009,,2011/09/28,"","","read",,"",,,,,0,,,,,
602452,"Babel-17","Samuel R. Delany","Delany, Samuel R.","",="1857988051",="9781857988055",5,"3.79","Gollancz","Paperback","195",2001,1966,,2011/09/28,"","","read",,"",,,,,0,,,,,
725675,"House Atreides (Prelude to Dune, #1)","Brian Herbert","Herbert, Brian","Kevin J. Anderson",="0340751754",="9780340751756",0,"3.59","Hodder & Stoughton General Division","Paperback","610",1999,1999,,2011/09/28,"","","read",,"",,,,,0,,,,,
12491769,"25 Big Ideas: The Science That's Changing Our World","Robert Matthews","Matthews, Robert","",="1567319947",="9781567319941",0,"3.84","MJF Books","Hardcover","186",2009,2005,,2011/09/28,"","","read",,"",,,,,0,,,,,
3419554,"Cenotaxis","Sean Williams","Williams, Sean","",="1932265260",="9781932265262",4,"3.47","MonkeyBrain","Paperback","128",2008,2007,,2011/09/28,"","","read",,"",,,,,0,,,,,
7074186,"The Mammoth Book of Best Short SF Novels","Gardner R. Dozois","Dozois, Gardner R.","Robert Silverberg, Walter Jon Williams, Joe Haldeman, James Patrick Kelly, Nancy Kress, Michael Swanwick, Frederik Pohl, Ursula K. Le Guin, Maureen F. McHugh, Greg Egan, Ian McDonald, Ian R. MacLeod, Alastair Reynolds",="184529923X",="9781845299231",0,"3.54","Robinson Publ","Paperback","800",2009,,,2011/09/28,"","","read",,"",,,,,0,,,,,
6524798,"The Family: The Secret Fundamentalism at the Heart of American Power","Jeff Sharlet","Sharlet, Jeff","",="0060560053",="9780060560058",3,"3.76","Harper Perennial","Paperback","454",2009,2007,,2011/09/28,"","","read",,"",,,,,0,,,,,
17364,"Surely You're Joking, Mr. Feynman!","Richard P. Feynman","Feynman, Richard P.","",="009917331X",="9780099173311",4,"4.29","Vintage","Paperback","350",1992,1985,,2011/09/28,"","","read",,"",,,,,0,,,,,
129131,"The State of the Art (Culture, #4)","Iain M. Banks","Banks, Iain M.","",="1597800740",="9781597800747",0,"3.84","Night Shade Books (San Francisco)","Paperback","188",2007,1991,,2011/09/28,"","","read",,"",,,,,0,,,,,
18,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5)","Douglas Adams","Adams, Douglas","",="0517149257",="9780517149256",0,"4.35","Wings Books","Hardcover","815",1996,1996,,2011/09/28,"","","read",,"",,,,,0,,,,,
